"","Finance Code","Sq. Ft.","Sales Price","DOM","Street #","Street Name","Closed Date","address"
"620","Contract",1466,67000,92,"17148","MARK TWAIN",2023-02-28,"17148 MARK TWAIN"
"621","CONV Sale",960,72000,111,"14336","DOLPHIN",2023-02-28,"14336 DOLPHIN"
"622","Cash Sale",1068,76000,4,"7414","PENROD",2023-02-28,"7414 PENROD"
"623","Other Sale",2168,76000,7,"2256","LA SALLE",2023-02-28,"2256 LA SALLE"
"624","FHA Sale",984,105000,69,"22431","LEEWIN",2023-02-28,"22431 LEEWIN"
"625","CONV Sale",1252,119000,52,"4529","Harvard",2023-02-28,"4529 Harvard"
"626","CONV Sale",1330,126000,12,"14232","WARWICK",2023-02-28,"14232 WARWICK"
"627","CONV Sale",1471,185000,101,"3753","FISCHER",2023-02-28,"3753 FISCHER"
"628","CONV Sale",1817,405000,93,"7840","LAFAYETTE",2023-02-28,"7840 LAFAYETTE"
"629","CONV Sale",3260,465000,86,"2464","CHICAGO",2023-02-28,"2464 CHICAGO"
"630","Cash Sale",1030,15000,77,"8850","Burt Road",2023-03-01,"8850 Burt Road"
"631","Cash Sale",960,40000,16,"7786","VAUGHAN",2023-03-01,"7786 VAUGHAN"
"632","FHA Sale",926,43500,0,"19471","MEYERS",2023-03-01,"19471 MEYERS"
"633","Cash Sale",815,45000,161,"11414","METTETAL",2023-03-01,"11414 METTETAL"
"634","Cash Sale",1057,45500,11,"20194","RUSSELL",2023-03-01,"20194 RUSSELL"
"635","Cash Sale",1200,48000,45,"19484","CONCORD",2023-03-01,"19484 CONCORD"
"636","Cash Sale",875,50000,2,"15611","MADDELEIN",2023-03-01,"15611 MADDELEIN"
"637","Cash Sale",800,50000,42,"8233","COYLE",2023-03-01,"8233 COYLE"
"638","Cash Sale",758,50000,96,"8260","AUBURN",2023-03-01,"8260 AUBURN"
"639","Cash Sale",1060,60000,74,"17165","PREVOST",2023-03-01,"17165 PREVOST"
"640","Cash Sale",1278,60000,148,"16589","SORRENTO",2023-03-01,"16589 SORRENTO"
"641","CONV Sale",821,73000,97,"16894","Chatham",2023-03-01,"16894 Chatham"
"642","Cash Sale",1654,91000,9,"8059","FREDA",2023-03-01,"8059 FREDA"
"643","VA Sale",1826,110000,13,"13971","COYLE",2023-03-01,"13971 COYLE"
"644","Cash Sale",1284,130000,115,"19134","SUNDERLAND",2023-03-01,"19134 SUNDERLAND"
"645","CONV Sale",1765,150000,0,"1140","CAMPBELL",2023-03-01,"1140 CAMPBELL"
"646","CONV Sale",1163,185000,36,"17153","SUNDERLAND",2023-03-01,"17153 SUNDERLAND"
"647","Cash Sale",10325,1300000,53,"1830","BALMORAL",2023-03-01,"1830 BALMORAL"
"648","Cash Sale",1218,42000,118,"3934","BUCKINGHAM",2023-03-02,"3934 BUCKINGHAM"
"649","Contract",778,42500,45,"20465","BRAMFORD",2023-03-02,"20465 BRAMFORD"
"650","Cash Sale",1120,45000,39,"7509","ROCKDALE",2023-03-02,"7509 ROCKDALE"
"651","Cash Sale",970,47000,45,"11516","KENNEBEC",2023-03-02,"11516 KENNEBEC"
"652","FHA Sale",1764,64000,83,"13707","PARK GROVE",2023-03-02,"13707 PARK GROVE"
"653","Cash Sale",1200,64900,32,"9618","PLAINVIEW",2023-03-02,"9618 PLAINVIEW"
"654","CONV Sale",1500,87300,16,"14396","Prevost",2023-03-02,"14396 Prevost"
"655","CONV Sale",1037,96000,77,"19795","MURRAY HILL",2023-03-02,"19795 MURRAY HILL"
"656","FHA Sale",1148,115500,31,"17463","LENORE",2023-03-02,"17463 LENORE"
"657","CONV Sale",1755,133000,129,"16666","Hubbell",2023-03-02,"16666 Hubbell"
"658","FHA Sale",1397,2e+05,6,"14410","PENROD",2023-03-02,"14410 PENROD"
"659","FHA Sale",2098,243000,129,"12094","Outer Drive",2023-03-02,"12094 Outer Drive"
"660","CONV Sale",1599,244900,37,"18650","ROSELAWN",2023-03-02,"18650 ROSELAWN"
"661","FHA Sale",1950,280000,7,"3425","KENSINGTON",2023-03-02,"3425 KENSINGTON"
"662","VA Sale",2690,450000,88,"1258","LONGFELLOW",2023-03-02,"1258 LONGFELLOW"
"663","Cash Sale",892,15500,5,"6797","WESTWOOD",2023-03-03,"6797 WESTWOOD"
"664","Cash Sale",956,29900,9,"8560","MANOR",2023-03-03,"8560 MANOR"
"665","Cash Sale",1260,35000,5,"15867","Fordham",2023-03-03,"15867 Fordham"
"666","Cash Sale",1507,42400,22,"7305","BURNETTE",2023-03-03,"7305 BURNETTE"
"667","Cash Sale",840,50000,26,"20422","MCCORMICK",2023-03-03,"20422 MCCORMICK"
"668","CONV Sale",725,59900,62,"16807","TULLER",2023-03-03,"16807 TULLER"
"669","FHA Sale",733,65000,33,"19400","SYRACUSE",2023-03-03,"19400 SYRACUSE"
"670","Cash Sale",1053,65000,538,"15661","BRINGARD",2023-03-03,"15661 BRINGARD"
"671","Contract",1100,66000,30,"6395","STAHELIN",2023-03-03,"6395 STAHELIN"
"672","Cash Sale",1802,75000,69,"938","WEBB",2023-03-03,"938 WEBB"
"673","Cash Sale",1080,88000,37,"6534","HORATIO",2023-03-03,"6534 HORATIO"
"674","Cash Sale",1260,90000,24,"3243","VICKSBURG",2023-03-03,"3243 VICKSBURG"
"675","FHA Sale",1096,92000,35,"19490","BEAVERLAND",2023-03-03,"19490 BEAVERLAND"
"676","FHA Sale",1070,99000,1,"20033","STANSBURY",2023-03-03,"20033 STANSBURY"
"677","FHA Sale",1204,105000,28,"18053","GRUEBNER",2023-03-03,"18053 GRUEBNER"
"678","Cash Sale",1541,109000,91,"3861","ROHNS",2023-03-03,"3861 ROHNS"
"679","FHA Sale",1346,155000,9,"14155","ARCHDALE",2023-03-03,"14155 ARCHDALE"
"680","CONV Sale",1456,204000,244,"20150","BASIL",2023-03-03,"20150 BASIL"
"681","FHA Sale",2576,3e+05,3,"2229","GLYNN",2023-03-03,"2229 GLYNN"
"682","CONV Sale",1448,117000,76,"8028","MIDDLEPOINT",2023-03-04,"8028 MIDDLEPOINT"
"683","Cash Sale",720,11000,170,"6422","HEYDEN",2023-03-06,"6422 HEYDEN"
"684","Cash Sale",1296,35000,22,"17152","ARLINGTON",2023-03-06,"17152 ARLINGTON"
"685","Cash Sale",1140,40000,5,"7851","HELEN",2023-03-06,"7851 HELEN"
"686","Cash Sale",760,40000,104,"6845","MINOCK",2023-03-06,"6845 MINOCK"
"687","Cash Sale",2020,45000,30,"19760","FORRER",2023-03-06,"19760 FORRER"
"688","Cash Sale",1837,50100,34,"15516","COLLINGHAM",2023-03-06,"15516 COLLINGHAM"
"689","Cash Sale",926,52500,22,"15110","LAHSER",2023-03-06,"15110 LAHSER"
"690","Cash Sale",960,52500,46,"13982","LAMPHERE",2023-03-06,"13982 LAMPHERE"
"691","Cash Sale",740,54000,34,"12939","APPLETON",2023-03-06,"12939 APPLETON"
"692","CONV Sale",1277,64500,5,"20035","GREENVIEW",2023-03-06,"20035 GREENVIEW"
"693","VA Sale",923,74000,109,"19638","SYRACUSE",2023-03-06,"19638 SYRACUSE"
"694","FHA Sale",720,88000,25,"4501","FARMBROOK",2023-03-06,"4501 FARMBROOK"
"695","CONV Sale",1157,90000,104,"16533","PREVOST",2023-03-06,"16533 PREVOST"
"696","Cash Sale",1288,97000,4,"9550","EVERGREEN",2023-03-06,"9550 EVERGREEN"
"697","CONV Sale",1394,124500,56,"5290","HAVERHILL",2023-03-06,"5290 HAVERHILL"
"698","FHA Sale",1205,144000,29,"20500","MURRAY HILL",2023-03-06,"20500 MURRAY HILL"
"699","CONV Sale",2497,241000,54,"2476","FIELD",2023-03-06,"2476 FIELD"
"700","CONV Sale",4209,8e+05,5,"19285","Lucerne",2023-03-06,"19285 Lucerne"
"701","Cash Sale",1712,20000,33,"231","HOLLYWOOD",2023-03-07,"231 HOLLYWOOD"
"702","Cash Sale",851,40000,13,"16411","Liberal",2023-03-07,"16411 Liberal"
"703","CONV Sale",1088,70000,16,"6304","BLUEHILL",2023-03-07,"6304 BLUEHILL"
"704","CONV Sale",1125,70000,67,"2632","GLYNN",2023-03-07,"2632 GLYNN"
"705","Cash Sale",1038,77000,14,"19776","WESTBROOK",2023-03-07,"19776 WESTBROOK"
"706","Cash Sale",1284,95000,74,"5074","LAKEVIEW",2023-03-07,"5074 LAKEVIEW"
"707","Cash Sale",1309,120000,7,"6151","MARSEILLES",2023-03-07,"6151 MARSEILLES"
"708","CONV Sale",1002,150000,19,"20100","WARD",2023-03-07,"20100 WARD"
"709","Other Sale",1498,161000,18,"18660","HARTWELL",2023-03-07,"18660 HARTWELL"
"710","VA Sale",2106,3e+05,156,"650","FAIRVIEW",2023-03-07,"650 FAIRVIEW"
"711","Cash Sale",782,6500,7,"11745","BEACONSFIELD",2023-03-08,"11745 BEACONSFIELD"
"712","Cash Sale",1600,28000,10,"12424","Duchess",2023-03-08,"12424 Duchess"
"713","Cash Sale",1152,30000,11,"8647","ELLSWORTH",2023-03-08,"8647 ELLSWORTH"
"714","Cash Sale",780,39900,88,"18255","LENORE",2023-03-08,"18255 LENORE"
"715","Cash Sale",920,40000,90,"246","marlborough",2023-03-08,"246 marlborough"
"716","Cash Sale",1326,45000,53,"17421","ARLINGTON",2023-03-08,"17421 ARLINGTON"
"717","Cash Sale",840,45000,12,"6888","WESTWOOD",2023-03-08,"6888 WESTWOOD"
"718","Cash Sale",926,50000,7,"8060","WHITTAKER",2023-03-08,"8060 WHITTAKER"
"719","Cash Sale",1047,51000,76,"16180","Steel",2023-03-08,"16180 Steel"
"720","Cash Sale",918,51500,8,"12687","GRANDMONT",2023-03-08,"12687 GRANDMONT"
"721","Cash Sale",1365,52000,91,"20515","INDIANA",2023-03-08,"20515 INDIANA"
"722","Cash Sale",1341,70000,3,"4760","GLENDALE",2023-03-08,"4760 GLENDALE"
"723","Cash Sale",1490,80000,1,"7743","DOLPHIN",2023-03-08,"7743 DOLPHIN"
"724","Cash Sale",908,83000,7,"8066","WHITTAKER",2023-03-08,"8066 WHITTAKER"
"725","FHA Sale",1275,120100,3,"15744","PREST",2023-03-08,"15744 PREST"
"726","CONV Sale",1568,128000,150,"15700","HEYDEN",2023-03-08,"15700 HEYDEN"
"727","CONV Sale",1300,152000,12,"13925","Archdale",2023-03-08,"13925 Archdale"
"728","CONV Sale",2175,160000,78,"11851","OUTER",2023-03-08,"11851 OUTER"
"729","Cash Sale",1248,13000,124,"2503","STURTEVANT",2023-03-09,"2503 STURTEVANT"
"730","Cash Sale",1146,35000,117,"15476","VAUGHAN",2023-03-09,"15476 VAUGHAN"
"731","Cash Sale",1230,40000,7,"10056","COYLE",2023-03-09,"10056 COYLE"
"732","Cash Sale",1190,40000,16,"15048","WHITCOMB",2023-03-09,"15048 WHITCOMB"
"733","Cash Sale",986,42500,7,"14939","CRUSE",2023-03-09,"14939 CRUSE"
"734","Cash Sale",1012,47500,7,"17630","Huntington",2023-03-09,"17630 Huntington"
"735","Cash Sale",900,50000,67,"8893","EVERGREEN",2023-03-09,"8893 EVERGREEN"
"736","Cash Sale",1015,60000,5,"20268","Annchester",2023-03-09,"20268 Annchester"
"737","CONV Sale",1036,78500,167,"18950","ALGONAC",2023-03-09,"18950 ALGONAC"
"738","VA Sale",2090,285000,20,"17160","Northlawn",2023-03-09,"17160 Northlawn"
"739","Cash Sale",994,14000,105,"3758","ROLFS Place",2023-03-10,"3758 ROLFS Place"
"740","Cash Sale",896,26000,9,"17600","KENTFIELD",2023-03-10,"17600 KENTFIELD"
"741","Cash Sale",1296,28000,30,"11634","RIAD",2023-03-10,"11634 RIAD"
"742","Cash Sale",790,28000,96,"15741","FIELDING",2023-03-10,"15741 FIELDING"
"743","Cash Sale",920,30000,95,"17929","GALLAGHER",2023-03-10,"17929 GALLAGHER"
"744","Cash Sale",441,35000,0,"5031","GATESHEAD",2023-03-10,"5031 GATESHEAD"
"745","Cash Sale",717,36200,35,"18430","BLOOM",2023-03-10,"18430 BLOOM"
"746","Cash Sale",1032,40000,81,"20103","GREELEY",2023-03-10,"20103 GREELEY"
"747","Cash Sale",1188,40000,72,"15738","Cherrylawn",2023-03-10,"15738 Cherrylawn"
"748","Cash Sale",1070,42000,11,"8541","WISCONSIN",2023-03-10,"8541 WISCONSIN"
"749","Cash Sale",907,43000,37,"3560","Ethel",2023-03-10,"3560 Ethel"
"750","Cash Sale",953,43000,117,"8684","PLAINVIEW",2023-03-10,"8684 PLAINVIEW"
"751","Cash Sale",994,48000,134,"18834","RUSSELL",2023-03-10,"18834 RUSSELL"
"752","FHA Sale",930,53000,76,"20541","SCHOENHERR",2023-03-10,"20541 SCHOENHERR"
"753","Cash Sale",993,55000,34,"8043","SPRAGUE",2023-03-10,"8043 SPRAGUE"
"754","Cash Sale",1042,57000,5,"18675","WASHBURN",2023-03-10,"18675 WASHBURN"
"755","Cash Sale",660,60000,6,"13192","MACKAY",2023-03-10,"13192 MACKAY"
"756","Cash Sale",1243,63000,57,"3790","Rohns",2023-03-10,"3790 Rohns"
"757","FHA Sale",1070,82000,13,"20171","VEACH",2023-03-10,"20171 VEACH"
"758","Contract",1324,103000,9,"11328","ROXBURY",2023-03-10,"11328 ROXBURY"
"759","Cash Sale",1375,105000,3,"16842","GREENVIEW",2023-03-10,"16842 GREENVIEW"
"760","Cash Sale",2346,130000,7,"14042","RUTLAND",2023-03-10,"14042 RUTLAND"
"761","VA Sale",1910,139000,7,"9097","ANNAPOLIS",2023-03-10,"9097 ANNAPOLIS"
"762","CONV Sale",1426,156000,4,"8175","Littlefield",2023-03-10,"8175 Littlefield"
"763","CONV Sale",1422,159800,15,"14530","ROSEMONT",2023-03-10,"14530 ROSEMONT"
"764","FHA Sale",1648,180000,34,"18011","SANTA BARBARA",2023-03-10,"18011 SANTA BARBARA"
"765","CONV Sale",1520,185000,82,"5590","DEVONSHIRE",2023-03-10,"5590 DEVONSHIRE"
"766","CONV Sale",1715,191500,8,"5912","KENSINGTON",2023-03-10,"5912 KENSINGTON"
"767","Cash Sale",3043,376000,4,"18025","Oak",2023-03-10,"18025 Oak"
"768","Cash Sale",1200,43000,22,"12655","LAING",2023-03-11,"12655 LAING"
"769","Cash Sale",802,55000,7,"8606","CLOVERLAWN",2023-03-11,"8606 CLOVERLAWN"
"770","Cash Sale",1152,38000,81,"15790","RUTHERFORD",2023-03-13,"15790 RUTHERFORD"
"771","Cash Sale",894,40000,4,"20538","TIREMAN",2023-03-13,"20538 TIREMAN"
"772","Cash Sale",1231,40000,16,"18617","SAINT AUBIN",2023-03-13,"18617 SAINT AUBIN"
"773","Cash Sale",1828,40000,299,"12024","WILFRED",2023-03-13,"12024 WILFRED"
"774","Cash Sale",1368,50000,4,"8086","MONTLIEU",2023-03-13,"8086 MONTLIEU"
"775","Cash Sale",1667,63000,0,"3286","WAVERLY",2023-03-13,"3286 WAVERLY"
"776","Cash Sale",1518,63000,33,"5730","CADIEUX",2023-03-13,"5730 CADIEUX"
"777","FHA Sale",1022,97000,58,"19296","NORTHROP",2023-03-13,"19296 NORTHROP"
"778","FHA Sale",1000,131000,30,"4055","Hereford St",2023-03-13,"4055 Hereford St"
"779","CONV Sale",1126,148000,16,"19026","Curtis",2023-03-13,"19026 Curtis"
"780","FHA Sale",1950,217000,78,"19164","SAN JUAN",2023-03-13,"19164 SAN JUAN"
"781","Cash Sale",1622,22500,14,"3893","BENITEAU",2023-03-14,"3893 BENITEAU"
"782","Cash Sale",1196,25000,94,"11409","Wayburn",2023-03-14,"11409 Wayburn"
"783","Cash Sale",792,25000,139,"19694","GALLAGHER",2023-03-14,"19694 GALLAGHER"
"784","Cash Sale",931,29000,0,"16600","LAMPHERE",2023-03-14,"16600 LAMPHERE"
"785","Contract",780,32000,1,"9264","HARVARD",2023-03-14,"9264 HARVARD"
"786","Cash Sale",910,40000,8,"19750","BILTMORE",2023-03-14,"19750 BILTMORE"
"787","Cash Sale",1244,40000,111,"13641","CLOVERLAWN",2023-03-14,"13641 CLOVERLAWN"
"788","Cash Sale",1150,40500,63,"18601","WALTHAM",2023-03-14,"18601 WALTHAM"
"789","Cash Sale",1070,40500,88,"19323","PACKARD",2023-03-14,"19323 PACKARD"
"790","Cash Sale",878,40500,107,"17818","BRADFORD",2023-03-14,"17818 BRADFORD"
"791","Cash Sale",950,40500,107,"17843","BRADFORD",2023-03-14,"17843 BRADFORD"
"792","Cash Sale",853,42000,200,"8864","NORTHLAWN",2023-03-14,"8864 NORTHLAWN"
"793","Cash Sale",894,50000,29,"3511","ETHEL",2023-03-14,"3511 ETHEL"
"794","Cash Sale",1234,50101,17,"11320","LANSDOWNE",2023-03-14,"11320 LANSDOWNE"
"795","Cash Sale",917,52500,14,"20258","WESTPHALIA",2023-03-14,"20258 WESTPHALIA"
"796","Cash Sale",1125,54000,29,"16207","St Marys",2023-03-14,"16207 St Marys"
"797","Cash Sale",1773,60000,167,"19209","MENDOTA",2023-03-14,"19209 MENDOTA"
"798","Other Sale",1058,80888,20,"20215","AVON",2023-03-14,"20215 AVON"
"799","CONV Sale",1092,115999,91,"8685","PARKWAY",2023-03-14,"8685 PARKWAY"
"800","CONV Sale",1439,135000,20,"18667","PRAIRIE",2023-03-14,"18667 PRAIRIE"
"801","FHA Sale",1003,145000,41,"20269","ASBURY",2023-03-14,"20269 ASBURY"
"802","Cash Sale",1032,9400,79,"17530","PIERSON",2023-03-15,"17530 PIERSON"
"803","Cash Sale",1152,20500,47,"19175","MARX",2023-03-15,"19175 MARX"
"804","Cash Sale",999,26963,46,"8571","MARK TWAIN",2023-03-15,"8571 MARK TWAIN"
"805","Cash Sale",990,27000,52,"10164","BEACONSFIELD",2023-03-15,"10164 BEACONSFIELD"
"806","Contract",1118,37000,133,"9476","WAYBURN",2023-03-15,"9476 WAYBURN"
"807","Cash Sale",1114,47000,20,"20045","STRATHMOOR",2023-03-15,"20045 STRATHMOOR"
"808","CONV Sale",1221,57000,0,"14820","TRACEY",2023-03-15,"14820 TRACEY"
"809","Cash Sale",1064,57000,90,"8655","HEYDEN",2023-03-15,"8655 HEYDEN"
"810","Cash Sale",1026,61000,14,"20026","GOULBURN",2023-03-15,"20026 GOULBURN"
"811","CONV Sale",1042,65000,30,"18887","HULL",2023-03-15,"18887 HULL"
"812","Cash Sale",898,68000,9,"11711","EVERGREEN",2023-03-15,"11711 EVERGREEN"
"813","Cash Sale",1400,76000,10,"11040","NASHVILLE",2023-03-15,"11040 NASHVILLE"
"814","VA Sale",874,96500,3,"19307","SUSSEX",2023-03-15,"19307 SUSSEX"
"815","FHA Sale",983,115000,19,"16229","Woodbine",2023-03-15,"16229 Woodbine"
"816","FHA Sale",1448,140000,203,"2071","COLLINGWOOD",2023-03-15,"2071 COLLINGWOOD"
"817","FHA Sale",1752,153000,6,"12472","Outer",2023-03-15,"12472 Outer"
"818","Cash Sale",1600,290000,12,"2420","SEYBURN",2023-03-15,"2420 SEYBURN"
"819","Cash Sale",935,20005,12,"18061","REVERE",2023-03-16,"18061 REVERE"
"820","Cash Sale",922,25000,35,"20251","BRADFORD",2023-03-16,"20251 BRADFORD"
"821","Cash Sale",1324,25000,68,"13152","ILENE",2023-03-16,"13152 ILENE"
"822","Cash Sale",795,35000,0,"19446","FORRER",2023-03-16,"19446 FORRER"
"823","Cash Sale",1300,37000,62,"11360","MCKINNEY",2023-03-16,"11360 MCKINNEY"
"824","Cash Sale",730,40000,0,"19346","AVON",2023-03-16,"19346 AVON"
"825","Cash Sale",737,47500,127,"9193","MANOR",2023-03-16,"9193 MANOR"
"826","Cash Sale",1476,50000,38,"14602","Mark Twain",2023-03-16,"14602 Mark Twain"
"827","FHA Sale",1258,70000,78,"1988","GRAND",2023-03-16,"1988 GRAND"
"828","Cash Sale",1036,90000,124,"6136","DOMINE",2023-03-16,"6136 DOMINE"
"829","CONV Sale",1200,93000,21,"19750","Braile",2023-03-16,"19750 Braile"
"830","CONV Sale",1487,99000,46,"16570","GREENLAWN",2023-03-16,"16570 GREENLAWN"
"831","CONV Sale",1510,120000,141,"20456","Ardmore",2023-03-16,"20456 Ardmore"
"832","VA Sale",1119,130000,9,"17578","ANNCHESTER",2023-03-16,"17578 ANNCHESTER"
"833","FHA Sale",1182,145000,5,"19351","ROBSON",2023-03-16,"19351 ROBSON"
"834","FHA Sale",941,155500,12,"11711","CHATHAM",2023-03-16,"11711 CHATHAM"
"835","CONV Sale",2050,177000,93,"3430","BALFOUR",2023-03-16,"3430 BALFOUR"
"836","CONV Sale",1480,195000,12,"211","Manistique",2023-03-16,"211 Manistique"
"837","Cash Sale",1921,13000,200,"306","HOLBROOK",2023-03-17,"306 HOLBROOK"
"838","Cash Sale",1550,18000,27,"9529","LAUDER",2023-03-17,"9529 LAUDER"
"839","Other Sale",1002,35000,37,"9219","PLAINVIEW",2023-03-17,"9219 PLAINVIEW"
"840","Cash Sale",1068,40000,31,"19159","HOYT",2023-03-17,"19159 HOYT"
"841","Cash Sale",798,42500,65,"19360","BELAND",2023-03-17,"19360 BELAND"
"842","CONV Sale",826,43000,103,"1850","BEATRICE",2023-03-17,"1850 BEATRICE"
"843","Cash Sale",1305,51000,10,"8906","FIELDING",2023-03-17,"8906 FIELDING"
"844","Cash Sale",976,59000,11,"19966","MACKAY",2023-03-17,"19966 MACKAY"
"845","CONV Sale",711,60000,100,"8426","FIELDING",2023-03-17,"8426 FIELDING"
"846","Cash Sale",1164,63000,17,"14481","LAPPIN",2023-03-17,"14481 LAPPIN"
"847","Cash Sale",1613,67000,32,"16600","AVON",2023-03-17,"16600 AVON"
"848","Cash Sale",1572,68400,23,"5370","SEEBALDT",2023-03-17,"5370 SEEBALDT"
"849","Cash Sale",825,69500,24,"9229","WESTWOOD",2023-03-17,"9229 WESTWOOD"
"850","CONV Sale",1181,70000,99,"19186","SUNDERLAND",2023-03-17,"19186 SUNDERLAND"
"851","CONV Sale",1753,80000,83,"15041","METTETAL",2023-03-17,"15041 METTETAL"
"852","CONV Sale",1212,112000,68,"7620","CHATHAM",2023-03-17,"7620 CHATHAM"
"853","FHA Sale",984,113000,34,"9595","BEAVERLAND",2023-03-17,"9595 BEAVERLAND"
"854","FHA Sale",1368,118000,74,"4267","WAYBURN",2023-03-17,"4267 WAYBURN"
"855","CONV Sale",1283,140000,106,"3982","BEDFORD",2023-03-17,"3982 BEDFORD"
"856","FHA Sale",1728,168000,58,"17194","INDIANA",2023-03-17,"17194 INDIANA"
"857","FHA Sale",1402,170000,133,"17144","ASHTON",2023-03-17,"17144 ASHTON"
"858","FHA Sale",1328,183000,3,"20239","FREELAND",2023-03-17,"20239 FREELAND"
"859","Cash Sale",2429,320000,48,"19170","BRETTON",2023-03-17,"19170 BRETTON"
"860","CONV Sale",2223,410000,21,"246","PHILADELPHIA",2023-03-17,"246 PHILADELPHIA"
"861","Cash Sale",1248,13500,28,"13530","WASHBURN",2023-03-20,"13530 WASHBURN"
"862","Cash Sale",1046,20000,35,"20300","ALBANY",2023-03-20,"20300 ALBANY"
"863","Cash Sale",1363,27295,66,"8554","BEECHDALE",2023-03-20,"8554 BEECHDALE"
"864","Cash Sale",1248,30000,66,"2737","CARTER",2023-03-20,"2737 CARTER"
"865","Cash Sale",1064,35000,116,"11800","CHRISTY",2023-03-20,"11800 CHRISTY"
"866","Cash Sale",1173,36500,48,"19440","Asbury Park",2023-03-20,"19440 Asbury Park"
"867","Cash Sale",1055,50000,10,"9624","LONGACRE",2023-03-20,"9624 LONGACRE"
"868","Cash Sale",888,52000,2,"18149","HEYDEN",2023-03-20,"18149 HEYDEN"
"869","Cash Sale",930,60000,0,"8908","PENROD",2023-03-20,"8908 PENROD"
"870","CONV Sale",871,64000,88,"19130","SAINT AUBIN",2023-03-20,"19130 SAINT AUBIN"
"871","CONV Sale",757,65000,48,"20203","TERRELL",2023-03-20,"20203 TERRELL"
"872","Cash Sale",959,70000,11,"19700","WHITCOMB",2023-03-20,"19700 WHITCOMB"
"873","FHA Sale",963,72000,42,"18861","CONLEY",2023-03-20,"18861 CONLEY"
"874","FHA Sale",971,86000,4,"16591","WINSTON",2023-03-20,"16591 WINSTON"
"875","CONV Sale",1002,99000,91,"8319","PIERSON",2023-03-20,"8319 PIERSON"
"876","CONV Sale",1306,130000,10,"19751","ANNCHESTER",2023-03-20,"19751 ANNCHESTER"
"877","FHA Sale",1399,155000,6,"20050","PREST",2023-03-20,"20050 PREST"
"878","Cash Sale",2463,155000,114,"1441","LONGFELLOW",2023-03-20,"1441 LONGFELLOW"
"879","Contract",1600,159900,11,"8081","kentucky",2023-03-20,"8081 kentucky"
"880","CONV Sale",1459,226000,15,"14860","PIEDMONT",2023-03-20,"14860 PIEDMONT"
"881","Cash Sale",2812,399000,22,"22322","ROXFORD",2023-03-20,"22322 ROXFORD"
"882","Cash Sale",1188,35000,108,"15514","NORTHLAWN",2023-03-21,"15514 NORTHLAWN"
"883","Cash Sale",753,50000,26,"19221","NORWOOD",2023-03-21,"19221 NORWOOD"
"884","Cash Sale",1300,60000,18,"15784","LITTLEFIELD",2023-03-21,"15784 LITTLEFIELD"
"885","Cash Sale",1400,60000,18,"15784","LITTLEFIELD",2023-03-21,"15784 LITTLEFIELD"
"886","Contract",2122,69900,0,"14223","MANSFIELD",2023-03-21,"14223 MANSFIELD"
"887","FHA Sale",719,78000,70,"5833","GREENVIEW",2023-03-21,"5833 GREENVIEW"
"888","CONV Sale",1617,115000,0,"17330","LITTLEFIELD",2023-03-21,"17330 LITTLEFIELD"
"889","Cash Sale",1735,135000,0,"5268","AVERY",2023-03-21,"5268 AVERY"
"890","CONV Sale",1570,170000,56,"16855","BIRWOOD",2023-03-21,"16855 BIRWOOD"
"891","CONV Sale",1920,170250,76,"5745","GRAYTON",2023-03-21,"5745 GRAYTON"
"892","FHA Sale",1968,236000,14,"3675","BERKSHIRE",2023-03-21,"3675 BERKSHIRE"
"893","CONV Sale",1440,280000,8,"2726","25TH",2023-03-21,"2726 25TH"
"894","Cash Sale",4106,695000,3,"83","SAND BAR",2023-03-21,"83 SAND BAR"
"895","Cash Sale",1000,46000,41,"16477","EASTBURN",2023-03-22,"16477 EASTBURN"
"896","Contract",890,49900,57,"19189","DRESDEN",2023-03-22,"19189 DRESDEN"
"897","Cash Sale",1079,55000,86,"19364","STOTTER",2023-03-22,"19364 STOTTER"
"898","Other Sale",1408,70000,87,"12897","MEMORIAL",2023-03-22,"12897 MEMORIAL"
"899","FHA Sale",992,80000,77,"18970","GREYDALE",2023-03-22,"18970 GREYDALE"
"900","VA Sale",1298,81000,79,"15328","PREST",2023-03-22,"15328 PREST"
"901","CONV Sale",1189,89000,16,"15777","KENTFIELD",2023-03-22,"15777 KENTFIELD"
"902","Cash Sale",1478,90000,66,"16544","CHANDLER PARK",2023-03-22,"16544 CHANDLER PARK"
"903","Cash Sale",2414,1e+05,54,"4393","ALGONQUIN",2023-03-22,"4393 ALGONQUIN"
"904","FHA 203K",2740,127600,13,"13975","ASBURY",2023-03-22,"13975 ASBURY"
"905","CONV Sale",1500,129250,13,"16831","STAHELIN",2023-03-22,"16831 STAHELIN"
"906","VA Sale",1279,140000,21,"16927","Snowden",2023-03-22,"16927 Snowden"
"907","Cash Sale",1566,225000,9,"14185","STAHELIN",2023-03-22,"14185 STAHELIN"
"908","CONV Sale",2556,227000,55,"15804","ASHTON",2023-03-22,"15804 ASHTON"
"909","CONV Sale",2686,535000,9,"19691","Shrewsbury",2023-03-22,"19691 Shrewsbury"
"910","Cash Sale",1024,32000,7,"7766","Forrer",2023-03-23,"7766 Forrer"
"911","Cash Sale",958,35000,6,"10015","ROBSON",2023-03-23,"10015 ROBSON"
"912","Cash Sale",954,40000,4,"19971","KENTUCKY",2023-03-23,"19971 KENTUCKY"
"913","Cash Sale",1120,45000,16,"9985","MINOCK",2023-03-23,"9985 MINOCK"
